YEAR,REGION,DISTRICT,DISTNAME,STUDENT GROUP,NUMBER OF STUDENTS,ISS ACTIONS,ISS STUDENTS,ISS PERCENT,OSS ACTIONS,OSS STUDENTS,OSS PERCENT,DAEP ACTIONS,DAEP STUDENTS,DAEP PERCENT,JJAEP ACTIONS,JJAEP STUDENTS,JJAEP PERCENT,EXPUL ACTIONS,EXPUL STUDENTS,EXPUL PERCENT
2016,4,20901,ALVIN ISD,ALL STUDENTS,23618,5877,2528,10.7,977,607,2.57,225,205,0.87,20,19,0.08,0,0,0
2016,4,20901,ALVIN ISD,AMERICAN INDIAN OR ALASKA NAT,78,24,9,11.54,-99999999,-99999999,-99999999,0,0,0,0,0,0,0,0,0
2016,4,20901,ALVIN ISD,ASIAN,2015,64,45,2.23,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,0,0,0,0,0
2016,4,20901,ALVIN ISD,BLACK OR AFRICAN AMERICAN,4128,1510,677,16.4,291,181,4.38,45,42,1.02,-99999999,-99999999,-99999999,0,0,0
2016,4,20901,ALVIN ISD,HISPANIC/LATINO,10160,2601,1085,10.68,381,238,2.34,103,92,0.91,11,10,0.1,0,0,0
2016,4,20901,ALVIN ISD,NATIVE HAWAIIAN/OTHER PACIFIC,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,20901,ALVIN ISD,TWO OR MORE RACES,495,116,54,10.91,31,14,2.83,-99999999,-99999999,-99999999,0,0,0,0,0,0
2016,4,20901,ALVIN ISD,WHITE,6717,1562,658,9.8,265,167,2.49,67,63,0.94,-99999999,-99999999,-99999999,0,0,0
2016,4,20901,ALVIN ISD,FEMALE,11409,1802,817,7.16,249,160,1.4,68,63,0.55,-99999999,-99999999,-99999999,0,0,0
2016,4,20901,ALVIN ISD,MALE,12209,4075,1711,14.01,728,447,3.66,157,142,1.16,-99999999,-99999999,-99999999,0,0,0
2016,4,20901,ALVIN ISD,SPECIAL ED.,2501,1044,429,17.15,227,127,5.08,41,39,1.56,-99999999,-99999999,-99999999,0,0,0
2016,4,20901,ALVIN ISD,ECON. DIS.,12325,4000,1649,13.38,692,418,3.39,165,148,1.2,17,16,0.13,0,0,0
2016,4,20901,ALVIN ISD,AT RISK,11433,4180,1670,14.61,644,410,3.59,179,162,1.42,17,16,0.14,0,0,0
2016,4,20902,ANGLETON ISD,ALL STUDENTS,7444,1706,641,8.61,361,202,2.71,225,168,2.26,14,13,0.17,0,0,0
2016,4,20902,ANGLETON ISD,AMERICAN INDIAN OR ALASKA NAT,120,12,8,6.67,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,0,0,0,0,0
2016,4,20902,ANGLETON ISD,ASIAN,-99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,20902,ANGLETON ISD,BLACK OR AFRICAN AMERICAN,882,284,124,14.06,84,47,5.33,47,37,4.2,-99999999,-99999999,-99999999,0,0,0
2016,4,20902,ANGLETON ISD,HISPANIC/LATINO,3338,821,289,8.66,147,83,2.49,96,72,2.16,9,-99999999,-99999999,0,0,0
2016,4,20902,ANGLETON ISD,NATIVE HAWAIIAN/OTHER PACIFIC,-99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,20902,ANGLETON ISD,TWO OR MORE RACES,170,44,18,10.59,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,0,0
2016,4,20902,ANGLETON ISD,WHITE,2892,545,202,6.98,105,61,2.11,64,50,1.73,-99999999,-99999999,-99999999,0,0,0
2016,4,20902,ANGLETON ISD,FEMALE,3537,418,186,5.26,72,52,1.47,53,42,1.19,-99999999,-99999999,-99999999,0,0,0
2016,4,20902,ANGLETON ISD,MALE,3907,1288,455,11.65,289,150,3.84,172,126,3.22,-99999999,-99999999,-99999999,0,0,0
2016,4,20902,ANGLETON ISD,SPECIAL ED.,768,374,112,14.58,95,44,5.73,51,29,3.78,5,5,0.65,0,0,0
2016,4,20902,ANGLETON ISD,ECON. DIS.,4577,1397,500,10.92,314,163,3.56,188,134,2.93,11,11,0.24,0,0,0
